seed,T,D,N,K,exact_cost,exact_s,train_s,guided_learned_cost,guided_learned_s,guided_zero_cost,guided_zero_s,guided_price_cost,guided_price_s,gap_learned_pct,gap_zero_pct,gap_price_pct,speedup_learned,speedup_zero,speedup_learned_incl_train,beam
300.0,40.0,2.0,28.0,2.0,162.0,0.0035010899882763624,6092.912327076076,162.0,0.047916549956426024,177.0,0.00045894389040768147,167.0,0.0008598859421908855,0.0,9.25925925925926,3.0864197530864197,0.07306640380954296,7.628579574654173,5.746123145869733e-07,2.0
300.0,40.0,2.0,28.0,2.0,162.0,0.0035010899882763624,6092.912327076076,162.0,0.10077611706219614,165.0,0.0010117108467966318,165.0,0.0012863539159297943,0.0,1.8518518518518516,1.8518518518518516,0.03474126698209249,3.4605638551388695,5.746073295725496e-07,5.0
301.0,40.0,2.0,25.0,3.0,162.0,0.004158166004344821,6092.912327076076,162.0,0.0861512350384146,178.0,0.0006570927798748016,167.0,0.00110381911508739,0.0,9.876543209876543,3.0864197530864197,0.04826588965893183,6.328126151587135,6.824498675235844e-07,2.0
301.0,40.0,2.0,25.0,3.0,162.0,0.004158166004344821,6092.912327076076,162.0,0.12059119693003595,167.0,0.00106226303614676,166.0,0.014216198120266199,0.0,3.0864197530864197,2.4691358024691357,0.03448150536856589,3.914441021527118,6.824460100772607e-07,5.0
302.0,80.0,4.0,51.0,4.0,324.0,0.02050813497044146,6092.912327076076,324.0,0.15816739294677973,357.0,0.001113662961870432,333.0,0.0024054800160229206,0.0,10.185185185185185,2.7777777777777777,0.12966095342636172,18.41502830981952,3.365812850689598e-06,2.0
302.0,80.0,4.0,51.0,4.0,324.0,0.02050813497044146,6092.912327076076,324.0,0.41361390403471887,349.0,0.0021911088842898607,333.0,0.0047739180736243725,0.0,7.716049382716049,2.7777777777777777,0.04958279876568173,9.359705999771963,3.365671747922733e-06,5.0
303.0,60.0,3.0,26.0,6.0,243.0,0.02559008216485381,6092.912327076076,243.0,0.17097280104644597,259.0,0.0011561608407646418,249.0,0.05482325819320977,0.0,6.584362139917696,2.4691358024691357,0.14967341008762022,22.13366969593044,4.199857593506046e-06,2.0
303.0,60.0,3.0,26.0,6.0,243.0,0.02559008216485381,6092.912327076076,243.0,0.4455256180372089,259.0,0.054325224831700325,249.0,0.0055943080224096775,0.0,6.584362139917696,2.4691358024691357,0.057437958960906726,0.4710534055612645,4.1996683574951095e-06,5.0
304.0,80.0,4.0,43.0,5.0,324.0,0.03402350889518857,6092.912327076076,324.0,0.21646344591863453,357.0,0.001343287993222475,333.0,0.0031626750715076923,0.0,10.185185185185185,2.7777777777777777,0.1571790042923807,25.32852900260652,5.58391428523765e-06,2.0
304.0,80.0,4.0,43.0,5.0,324.0,0.03402350889518857,6092.912327076076,324.0,0.6387831189204007,349.0,0.002785101067274809,333.0,0.005893938941881061,0.0,7.716049382716049,2.7777777777777777,0.053263005686016364,12.21625645653147,5.583527286456092e-06,5.0
305.0,40.0,2.0,29.0,3.0,162.0,0.003800879931077361,6092.912327076076,162.0,0.01777510903775692,178.0,0.0004932049196213484,167.0,0.0008151789661496878,0.0,9.876543209876543,3.0864197530864197,0.2138315958008324,7.706492331819068,6.238180755945728e-07,2.0
305.0,40.0,2.0,29.0,3.0,162.0,0.003800879931077361,6092.912327076076,162.0,0.08356455806642771,167.0,0.0011671949177980423,166.0,0.00160523084923625,0.0,3.0864197530864197,2.4691358024691357,0.045484353881892606,3.256422618981126,6.238113398855361e-07,5.0
306.0,80.0,4.0,22.0,7.0,324.0,0.03667067503556609,6092.912327076076,324.0,0.26653362112119794,357.0,0.0017514610663056374,333.0,0.004125916864722967,0.0,10.185185185185185,2.7777777777777777,0.13758367473982291,20.937191092072442,6.018315869915255e-06,2.0
306.0,80.0,4.0,22.0,7.0,324.0,0.03667067503556609,6092.912327076076,324.0,0.8046837649308145,349.0,0.004604073008522391,333.0,0.008052957942709327,0.0,7.716049382716049,2.7777777777777777,0.0455715358426785,7.964833521902599,6.017784378619363e-06,5.0
307.0,80.0,4.0,45.0,5.0,324.0,0.03692588000558317,6092.912327076076,324.0,0.22269822214730084,357.0,0.0015111030079424381,333.0,0.0037010619416832924,0.0,10.185185185185185,2.7777777777777777,0.16581129229293542,24.436375158740848,6.060243183889703e-06,2.0
