instance_seed,category,N,M,D,K,assign_alpha,epsilon,loads,u,total_energy,makespan,solve_s,method,beam,prune_factor
1489298.0,medium,42.0,5.0,7.0,140.0,1.2,135.0,23;48;65;44;123,3;2;2;2;1,827.0,135.0,0.4356817710213363,guided,50.0,2.0
1489298.0,medium,42.0,5.0,7.0,140.0,1.2,134.0,23;48;65;44;123,3;2;2;2;1,827.0,134.0,0.4338819987606257,guided,50.0,2.0
1489298.0,medium,42.0,5.0,7.0,140.0,1.2,133.0,23;48;65;44;123,3;2;2;2;1,827.0,133.0,0.44755251589231193,guided,50.0,2.0
1489298.0,medium,42.0,5.0,7.0,140.0,1.2,132.0,23;48;65;44;123,3;2;2;2;1,825.0,132.0,0.4467192713636905,guided,50.0,2.0
1489298.0,medium,42.0,5.0,7.0,140.0,1.2,131.0,23;48;65;44;123,3;2;2;2;1,825.0,131.0,0.4528848940972239,guided,50.0,2.0
1489298.0,medium,42.0,5.0,7.0,140.0,1.2,130.0,23;48;65;44;123,3;2;2;2;1,825.0,130.0,0.44508840306662023,guided,50.0,2.0
1489298.0,medium,42.0,5.0,7.0,140.0,1.2,129.0,23;48;65;44;123,3;2;2;2;1,825.0,129.0,0.4035344598814845,guided,50.0,2.0
1489298.0,medium,42.0,5.0,7.0,140.0,1.2,128.0,23;48;65;44;123,3;2;2;2;1,827.0,128.0,0.39967410755343735,guided,50.0,2.0
1489298.0,medium,42.0,5.0,7.0,140.0,1.2,127.0,23;48;65;44;123,3;2;2;2;1,829.0,127.0,0.3769667726010084,guided,50.0,2.0
1489298.0,medium,42.0,5.0,7.0,140.0,1.2,126.0,23;48;65;44;123,3;2;2;2;1,831.0,126.0,0.36641877912916243,guided,50.0,2.0
1489298.0,medium,42.0,5.0,7.0,140.0,1.2,125.0,23;48;65;44;123,3;2;2;2;1,833.0,125.0,0.35221812105737627,guided,50.0,2.0
