instance_seed,category,N,M,D,K,assign_alpha,epsilon,loads,u,total_energy,makespan,solve_s,method,beam,prune_factor
772716.0,small,27.0,5.0,5.0,100.0,1.2,85.0,32;16;83;30;10,2;3;1;2;3,471.0,85.0,0.17369450931437314,guided,50.0,2.0
772716.0,small,27.0,5.0,5.0,100.0,1.2,84.0,32;16;83;30;10,2;3;1;2;3,473.0,84.0,0.1663854408543557,guided,50.0,2.0
772716.0,small,27.0,5.0,5.0,100.0,1.2,83.0,32;16;83;30;10,2;3;1;2;3,476.0,83.0,0.14359410014003515,guided,50.0,2.0
648109.0,small,35.0,5.0,4.0,80.0,1.2,80.0,73;28;37;24;28,1;2;2;2;3,539.0,80.0,0.2816565742250532,guided,50.0,2.0
648109.0,small,35.0,5.0,4.0,80.0,1.2,79.0,73;28;37;24;28,1;2;2;2;3,541.0,79.0,0.26387508888728917,guided,50.0,2.0
648109.0,small,35.0,5.0,4.0,80.0,1.2,78.0,73;28;37;24;28,1;2;2;2;3,543.0,78.0,0.24264495470561087,guided,50.0,2.0
648109.0,small,35.0,5.0,4.0,80.0,1.2,77.0,73;28;37;24;28,1;2;2;2;3,545.0,77.0,0.2221729070879519,guided,50.0,2.0
648109.0,small,35.0,5.0,4.0,80.0,1.2,76.0,73;28;37;24;28,1;2;2;2;3,547.0,76.0,0.21217142511159182,guided,50.0,2.0
648109.0,small,35.0,5.0,4.0,80.0,1.2,75.0,73;28;37;24;28,1;2;2;2;3,547.0,75.0,0.20111197512596846,guided,50.0,2.0
648109.0,small,35.0,5.0,4.0,80.0,1.2,74.0,73;28;37;24;28,1;2;2;2;3,547.0,74.0,0.1877566738985479,guided,50.0,2.0
648109.0,small,35.0,5.0,4.0,80.0,1.2,73.0,73;28;37;24;28,1;2;2;2;3,547.0,73.0,0.16682016337290406,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,120.0,0;26;83;23;88,3;2;1;2;1,432.0,109.0,0.7428307931404561,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,108.0,0;26;83;23;88,3;2;1;2;1,464.0,108.0,0.6023092218674719,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,107.0,0;26;83;23;88,3;2;1;2;1,468.0,107.0,0.6211309134960175,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,106.0,0;26;83;23;88,3;2;1;2;1,466.0,106.0,0.5930641093291342,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,105.0,0;26;83;23;88,3;2;1;2;1,466.0,105.0,0.5635121390223503,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,104.0,0;26;83;23;88,3;2;1;2;1,456.0,104.0,0.6366889991331846,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,103.0,0;26;83;23;88,3;2;1;2;1,448.0,103.0,0.6707086830865592,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,102.0,0;26;83;23;88,3;2;1;2;1,452.0,102.0,0.7116944349836558,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,101.0,0;26;83;23;88,3;2;1;2;1,458.0,101.0,0.6740959589369595,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,100.0,0;26;83;23;88,3;2;1;2;1,462.0,100.0,0.6401970069855452,guided,50.0,2.0
