seed,T,N,K,exact_cost,exact_s,train_s,guided_learned_cost,guided_learned_s,guided_zero_cost,guided_zero_s,guided_price_cost,guided_price_s,gap_learned_pct,gap_zero_pct,gap_price_pct,speedup_learned,speedup_zero,speedup_learned_incl_train,beam
300.0,240.0,40.0,5.0,212.0,1.1507624930236489,0.0,218.0,0.049122693948447704,291.0,0.004057837883010507,224.0,0.008775987895205617,2.8301886792452833,37.264150943396224,5.660377358490567,23.42629038691013,283.59006106224706,23.42629038691013,2.0
300.0,240.0,40.0,5.0,212.0,1.1507624930236489,0.0,217.0,0.10771676222793758,290.0,0.005836199969053268,225.0,0.012499360833317041,2.358490566037736,36.79245283018868,6.132075471698113,10.683225797193385,197.17667302793296,10.683225797193385,3.0
301.0,240.0,40.0,5.0,196.0,1.267928739078343,0.0,204.0,0.045696204993873835,267.0,0.0041400359477847815,210.0,0.00791261182166636,4.081632653061225,36.224489795918366,7.142857142857142,27.746915509686747,306.2603211831473,27.746915509686747,2.0
301.0,240.0,40.0,5.0,196.0,1.267928739078343,0.0,204.0,0.06360952486284077,266.0,0.005827941000461578,210.0,0.011455564992502332,4.081632653061225,35.714285714285715,7.142857142857142,19.933001257474224,217.5603251607938,19.933001257474224,3.0
302.0,240.0,40.0,5.0,196.0,1.3368851819541305,0.0,203.0,0.04587678494863212,267.0,0.004222176969051361,210.0,0.008342078188434243,3.571428571428571,36.224489795918366,7.142857142857142,29.14077748584672,316.63409462784836,29.14077748584672,2.0
302.0,240.0,40.0,5.0,196.0,1.3368851819541305,0.0,204.0,0.06361164199188352,266.0,0.0058201930951327085,209.0,0.011547751957550645,4.081632653061225,35.714285714285715,6.63265306122449,21.01636021476555,229.69773684521505,21.01636021476555,3.0
303.0,240.0,40.0,5.0,212.0,1.04148456803523,0.0,218.0,0.04754585912451148,291.0,0.0037546660751104355,224.0,0.008655676152557135,2.8301886792452833,37.264150943396224,5.660377358490567,21.904842760498358,277.38407283118966,21.904842760498358,2.0
303.0,240.0,40.0,5.0,212.0,1.04148456803523,0.0,217.0,0.06767020607367158,290.0,0.005686389049515128,223.0,0.011834745993837714,2.358490566037736,36.79245283018868,5.188679245283019,15.390592529027927,183.15394162557982,15.390592529027927,3.0
304.0,240.0,40.0,5.0,180.0,0.8512996239587665,0.0,190.0,0.040558208944275975,255.0,0.004389534005895257,197.0,0.007340854033827782,5.555555555555555,41.66666666666667,9.444444444444445,20.989576367348718,193.93849616279294,20.989576367348718,2.0
304.0,240.0,40.0,5.0,180.0,0.8512996239587665,0.0,189.0,0.05382215301506221,254.0,0.006169551983475685,196.0,0.009891296969726682,5.0,41.11111111111111,8.88888888888889,15.816900221745662,137.9840264315558,15.816900221745662,3.0
305.0,240.0,40.0,5.0,158.0,0.9636566089466214,0.0,172.0,0.03728402289561927,225.0,0.004332334967330098,176.0,0.006695165066048503,8.860759493670885,42.405063291139236,11.39240506329114,25.8463688761399,222.43354131513453,25.8463688761399,2.0
305.0,240.0,40.0,5.0,158.0,0.9636566089466214,0.0,168.0,0.05323043093085289,224.0,0.006135562900453806,175.0,0.00968658085912466,6.329113924050633,41.77215189873418,10.759493670886076,18.10349065553171,157.06083118719985,18.10349065553171,3.0
306.0,240.0,40.0,5.0,168.0,1.1256453429814428,0.0,178.0,0.03921345109120011,241.0,0.004231153056025505,186.0,0.007544158957898617,5.952380952380952,43.452380952380956,10.714285714285714,28.705592383682056,266.0374909809591,28.705592383682056,2.0
306.0,240.0,40.0,5.0,168.0,1.1256453429814428,0.0,178.0,0.055368229979649186,238.0,0.005939252907410264,185.0,0.010484822792932391,5.952380952380952,41.66666666666667,10.119047619047619,20.330166656856797,189.52642033091433,20.330166656856797,3.0
307.0,240.0,40.0,5.0,228.0,0.9683785180095583,0.0,232.0,0.05220303684473038,306.0,0.004009702941402793,238.0,0.009410012047737837,1.7543859649122806,34.21052631578947,4.385964912280701,18.550233406723944,241.50879308549762,18.550233406723944,2.0
307.0,240.0,40.0,5.0,228.0,0.9683785180095583,0.0,232.0,0.07334345788694918,306.0,0.005814713891595602,238.0,0.013078485848382115,1.7543859649122806,34.21052631578947,4.385964912280701,13.20333872861853,166.53932352703046,13.20333872861853,3.0
308.0,240.0,40.0,5.0,198.0,1.0741936340928078,0.0,205.0,0.04776455485261977,269.0,0.004126486834138632,212.0,0.008478538133203983,3.535353535353535,35.858585858585855,7.07070707070707,22.489346700859937,260.31674818539346,22.489346700859937,2.0
308.0,240.0,40.0,5.0,198.0,1.0741936340928078,0.0,205.0,0.06458155694417655,268.0,0.005858188029378653,211.0,0.011897481046617031,3.535353535353535,35.35353535353536,6.565656565656567,16.633133125318217,183.36619253355408,16.633133125318217,3.0
309.0,240.0,40.0,5.0,184.0,1.203506093006581,0.0,194.0,0.04336438491009176,259.0,0.004245092160999775,199.0,0.0077970088459551334,5.434782608695652,40.76086956521739,8.152173913043478,27.753330192549353,283.5052920790157,27.753330192549353,2.0
309.0,240.0,40.0,5.0,184.0,1.203506093006581,0.0,193.0,0.05922236805781722,258.0,0.005875956965610385,199.0,0.010790699860081077,4.891304347826087,40.21739130434783,8.152173913043478,20.32181644326735,204.81873847106414,20.32181644326735,3.0
310.0,240.0,40.0,5.0,178.0,1.0961415069177747,0.0,188.0,0.04896053299307823,253.0,0.004197187023237348,196.0,0.007776428945362568,5.617977528089887,42.13483146067416,10.112359550561797,22.38826744538792,261.1609873110457,22.38826744538792,2.0
310.0,240.0,40.0,5.0,178.0,1.0961415069177747,0.0,187.0,0.05598850501701236,252.0,0.0058621130883693695,195.0,0.010148243978619576,5.056179775280898,41.57303370786517,9.550561797752808,19.577974203538872,186.98743787330827,19.577974203538872,3.0
311.0,240.0,40.0,5.0,156.0,0.8345132959075272,0.0,170.0,0.037427620962262154,223.0,0.004400416975840926,174.0,0.006781776901334524,8.974358974358974,42.94871794871795,11.538461538461538,22.296722966948863,189.64414065511383,22.296722966948863,2.0
311.0,240.0,40.0,5.0,156.0,0.8345132959075272,0.0,170.0,0.05109807616099715,222.0,0.006153487134724855,174.0,0.009215323952957988,8.974358974358974,42.30769230769231,11.538461538461538,16.33159912475347,135.6163225235769,16.33159912475347,3.0
312.0,240.0,40.0,5.0,184.0,1.3179646460339427,0.0,194.0,0.0432017098646611,259.0,0.004271439975127578,199.0,0.008034080965444446,5.434782608695652,40.76086956521739,8.152173913043478,30.5072333980011,308.5527722988963,30.5072333980011,2.0
312.0,240.0,40.0,5.0,184.0,1.3179646460339427,0.0,194.0,0.05955409491434693,258.0,0.005927506135776639,199.0,0.011180916102603078,5.434782608695652,40.21739130434783,8.152173913043478,22.130546151855583,222.3472428107844,22.130546151855583,3.0
313.0,240.0,40.0,5.0,216.0,1.1909003199543804,0.0,222.0,0.05146209895610809,295.0,0.0039004639256745577,226.0,0.008915639016777277,2.7777777777777777,36.574074074074076,4.62962962962963,23.14130873227881,305.32273664046835,23.14130873227881,2.0
313.0,240.0,40.0,5.0,216.0,1.1909003199543804,0.0,222.0,0.0719261639751494,294.0,0.005916281137615442,227.0,0.012314605992287397,2.7777777777777777,36.11111111111111,5.092592592592593,16.557261699175815,201.29204347350756,16.557261699175815,3.0
314.0,240.0,40.0,5.0,224.0,0.9483228789176792,0.0,228.0,0.05120315682142973,303.0,0.003775327932089567,234.0,0.009404473006725311,1.7857142857142856,35.267857142857146,4.464285714285714,18.52078929869386,251.18953796228286,18.52078929869386,2.0
314.0,240.0,40.0,5.0,224.0,0.9483228789176792,0.0,229.0,0.07146446406841278,302.0,0.005759308813139796,234.0,0.012333962135016918,2.232142857142857,34.82142857142857,4.464285714285714,13.26985224446449,164.6591474230539,13.26985224446449,3.0
315.0,240.0,40.0,5.0,218.0,0.8869713109452277,0.0,224.0,0.04730027192272246,297.0,0.004267132841050625,228.0,0.009312866954132915,2.7522935779816518,36.23853211009174,4.587155963302752,18.751928369340682,207.86119016787947,18.751928369340682,2.0
315.0,240.0,40.0,5.0,218.0,0.8869713109452277,0.0,223.0,0.06643335404805839,296.0,0.005872840061783791,228.0,0.013029549969360232,2.293577981651376,35.77981651376147,4.587155963302752,13.35129504832145,151.02936596502903,13.35129504832145,3.0
316.0,240.0,40.0,5.0,202.0,1.31176868500188,0.0,208.0,0.04675781889818609,273.0,0.0041390720289200544,216.0,0.008700279984623194,2.9702970297029703,35.148514851485146,6.9306930693069315,28.05453111186006,316.92337698799116,28.05453111186006,2.0
316.0,240.0,40.0,5.0,202.0,1.31176868500188,0.0,208.0,0.06667917082086205,272.0,0.00588374282233417,216.0,0.011895878938958049,2.9702970297029703,34.65346534653465,6.9306930693069315,19.672840391582437,222.94799834257225,19.672840391582437,3.0
317.0,240.0,40.0,5.0,168.0,0.9848243249580264,0.0,178.0,0.039626104990020394,241.0,0.004339045146480203,186.0,0.007299313088878989,5.952380952380952,43.452380952380956,10.714285714285714,24.852917671470582,226.96798298051996,24.852917671470582,2.0
317.0,240.0,40.0,5.0,168.0,0.9848243249580264,0.0,178.0,0.053070756839588284,238.0,0.00624115695245564,185.0,0.010234795976430178,5.952380952380952,41.66666666666667,10.119047619047619,18.556817042100178,157.79515440170726,18.556817042100178,3.0
318.0,240.0,40.0,5.0,220.0,1.1030701319687068,0.0,226.0,0.05128501518629491,299.0,0.003908240934833884,230.0,0.00890554510988295,2.727272727272727,35.90909090909091,4.545454545454546,21.508624458075317,282.2421008226791,21.508624458075317,2.0
318.0,240.0,40.0,5.0,220.0,1.1030701319687068,0.0,226.0,0.07041061506606638,298.0,0.005819716956466436,230.0,0.01290220022201538,2.727272727272727,35.45454545454545,4.545454545454546,15.666247637997403,189.54016839995242,15.666247637997403,3.0
319.0,240.0,40.0,5.0,198.0,0.5330211149994284,0.0,204.0,0.057965382002294064,269.0,0.004263765877112746,212.0,0.008316535037010908,3.0303030303030303,35.858585858585855,7.07070707070707,9.195507673499561,125.0118159302802,9.195507673499561,2.0
319.0,240.0,40.0,5.0,198.0,0.5330211149994284,0.0,205.0,0.058805570006370544,268.0,0.0058090658858418465,211.0,0.011418659007176757,3.535353535353535,35.35353535353536,6.565656565656567,9.064126322416142,91.75676872568012,9.064126322416142,3.0
320.0,240.0,40.0,5.0,190.0,1.1210035111289471,0.0,200.0,0.04321737517602742,263.0,0.004307013936340809,204.0,0.007951739011332393,5.263157894736842,38.421052631578945,7.368421052631578,25.93872271425603,260.27394563792365,25.93872271425603,2.0
320.0,240.0,40.0,5.0,190.0,1.1210035111289471,0.0,200.0,0.061126009095460176,263.0,0.0059667169116437435,204.0,0.011114082066342235,5.263157894736842,38.421052631578945,7.368421052631578,18.339222987358486,187.87610133495122,18.339222987358486,3.0
321.0,240.0,40.0,5.0,200.0,1.1119260480627418,0.0,206.0,0.04764766804873943,271.0,0.004188491031527519,214.0,0.008700724923983216,3.0,35.5,7.000000000000001,23.336421142905415,265.4717509702363,23.336421142905415,2.0
321.0,240.0,40.0,5.0,200.0,1.1119260480627418,0.0,206.0,0.06583041697740555,270.0,0.005925817880779505,214.0,0.011678564129397273,3.0,35.0,7.000000000000001,16.890764165209212,187.64094179628665,16.890764165209212,3.0
322.0,240.0,40.0,5.0,182.0,1.3023069989867508,0.0,192.0,0.043103605043143034,257.0,0.004284637048840523,198.0,0.0077008940279483795,5.4945054945054945,41.208791208791204,8.791208791208792,30.213412490283645,303.9480320367326,30.213412490283645,2.0
322.0,240.0,40.0,5.0,182.0,1.3023069989867508,0.0,191.0,0.0578762989025563,256.0,0.005947083933278918,198.0,0.010903982911258936,4.945054945054945,40.65934065934066,8.791208791208792,22.501559769386535,218.98244813718733,22.501559769386535,3.0
323.0,240.0,40.0,5.0,200.0,1.1841867971234024,0.0,206.0,0.04729948588646948,271.0,0.004296173807233572,214.0,0.008416178170591593,3.0,35.5,7.000000000000001,25.035933793566908,275.6375440699253,25.035933793566908,2.0
323.0,240.0,40.0,5.0,200.0,1.1841867971234024,0.0,206.0,0.06550730508752167,270.0,0.005963417934253812,213.0,0.011689396807923913,3.0,35.0,6.5,18.07717163057247,198.5751812432004,18.07717163057247,3.0
324.0,240.0,40.0,5.0,198.0,1.038238015025854,0.0,204.0,0.045943801989778876,269.0,0.0038521240931004286,212.0,0.008155803894624114,3.0303030303030303,35.858585858585855,7.07070707070707,22.59799951377187,269.52351220601923,22.59799951377187,2.0
324.0,240.0,40.0,5.0,198.0,1.038238015025854,0.0,205.0,0.061789195984601974,268.0,0.0058318451046943665,212.0,0.010950878961011767,3.535353535353535,35.35353535353536,7.07070707070707,16.80290540250088,178.02907937148748,16.80290540250088,3.0
325.0,240.0,40.0,5.0,156.0,0.788201407995075,0.0,167.0,0.03852148703299463,223.0,0.004364043939858675,174.0,0.006466734921559691,7.051282051282051,42.94871794871795,11.538461538461538,20.461344270535573,180.61261959259744,20.461344270535573,2.0
