seed,T,N,K,exact_cost,exact_s,train_s,guided_learned_cost,guided_learned_s,guided_zero_cost,guided_zero_s,guided_price_cost,guided_price_s,gap_learned_pct,gap_zero_pct,gap_price_pct,speedup_learned,speedup_zero,speedup_learned_incl_train,beam
100.0,120.0,30.0,3.0,100.0,0.03260202403180301,434.3966436011251,102.0,0.04317841003648937,135.0,0.002459320006892085,106.0,0.0050711799412965775,2.0,35.0,6.0,0.7550538337157754,13.256519664150233,7.504382052473403e-05,2.0
100.0,120.0,30.0,3.0,100.0,0.03260202403180301,434.3966436011251,101.0,0.023094566073268652,134.0,0.0019326289184391499,105.0,0.00414613913744688,1.0,34.0,5.0,1.4116751069654863,16.869262236918924,7.504728990756683e-05,3.0
101.0,120.0,30.0,3.0,102.0,0.02017221786081791,434.3966436011251,104.0,0.016900473972782493,137.0,0.0013755420222878456,108.0,0.003236216027289629,1.9607843137254901,34.31372549019608,5.88235294117647,1.193588883560569,14.664923015050336,4.643551780542712e-05,2.0
101.0,120.0,30.0,3.0,102.0,0.02017221786081791,434.3966436011251,103.0,0.021327323047444224,136.0,0.0019332459196448326,107.0,0.00436486816033721,0.9803921568627451,33.33333333333333,4.901960784313726,0.9458391855341293,10.434377569783704,4.643504461361006e-05,3.0
102.0,120.0,30.0,3.0,96.0,0.02034021681174636,434.3966436011251,98.0,0.015049173031002283,131.0,0.0014380149077624083,102.0,0.002938217017799616,2.083333333333333,36.45833333333333,6.25,1.3515836896714644,14.144649476128388,4.682244320325172e-05,2.0
102.0,120.0,30.0,3.0,96.0,0.02034021681174636,434.3966436011251,97.0,0.01932695508003235,132.0,0.0020014119800180197,101.0,0.004087942885234952,1.0416666666666665,37.5,5.208333333333334,1.0524273858721214,10.162933476376626,4.6821982133170036e-05,3.0
103.0,120.0,30.0,3.0,88.0,0.02028913702815771,434.3966436011251,90.0,0.014370458899065852,127.0,0.0014249971136450768,94.0,0.0026649199426174164,2.272727272727273,44.31818181818182,6.8181818181818175,1.4118642397339587,14.238019736235842,4.6704932360104214e-05,2.0
103.0,120.0,30.0,3.0,88.0,0.02028913702815771,434.3966436011251,90.0,0.018120978958904743,126.0,0.001987860072404146,94.0,0.0035959628876298666,2.272727272727273,43.18181818181818,6.8181818181818175,1.119649058374273,10.206521731491765,4.6704529133050274e-05,3.0
104.0,120.0,30.0,3.0,102.0,0.020352528197690845,434.3966436011251,104.0,0.016819925978779793,137.0,0.0013797408901154995,108.0,0.003257308853790164,1.9607843137254901,34.31372549019608,5.88235294117647,1.210024837408192,14.750978494220835,4.685059259545949e-05,2.0
104.0,120.0,30.0,3.0,102.0,0.020352528197690845,434.3966436011251,103.0,0.021271737990900874,136.0,0.0019514509476721287,107.0,0.004426561063155532,0.9803921568627451,33.33333333333333,4.901960784313726,0.95678727363024,10.429433659077736,4.6850112481671526e-05,3.0
105.0,120.0,30.0,3.0,88.0,0.02020812383852899,434.3966436011251,90.0,0.01444324105978012,127.0,0.0013935728929936886,94.0,0.002602828899398446,2.272727272727273,44.31818181818182,6.8181818181818175,1.3991405221922282,14.50094497397813,4.651843484342356e-05,2.0
105.0,120.0,30.0,3.0,88.0,0.02020812383852899,434.3966436011251,90.0,0.018223854014649987,126.0,0.001994276186451316,94.0,0.0035598978865891695,2.272727272727273,43.18181818181818,6.8181818181818175,1.1088831057516082,10.133061797467494,4.65180300041545e-05,3.0
106.0,120.0,30.0,3.0,72.0,0.016193771036341786,434.3966436011251,79.0,0.011765114963054657,109.0,0.0013991890009492636,82.0,0.0023998951073735952,9.722222222222223,51.388888888888886,13.88888888888889,1.376422677312903,11.57368377349687,3.727775685604968e-05,2.0
106.0,120.0,30.0,3.0,72.0,0.016193771036341786,434.3966436011251,76.0,0.014362648129463196,106.0,0.0019019357860088348,82.0,0.0031446879729628563,5.555555555555555,47.22222222222222,13.88888888888889,1.1274920119446683,8.514362659069587,3.727753395605771e-05,3.0
107.0,120.0,30.0,3.0,94.0,0.020469551905989647,434.3966436011251,96.0,0.015015030978247523,131.0,0.0014305799268186092,100.0,0.0029369869735091925,2.127659574468085,39.361702127659576,6.382978723404255,1.3632707075759058,14.30856921885574,4.7120171614282114e-05,2.0
107.0,120.0,30.0,3.0,94.0,0.020469551905989647,434.3966436011251,96.0,0.01968743489123881,131.0,0.0019409570377320051,99.0,0.004069813992828131,2.127659574468085,39.361702127659576,5.319148936170213,1.039726709907693,10.546112823758415,4.711966480903907e-05,3.0
108.0,120.0,30.0,3.0,86.0,0.020009858068078756,434.3966436011251,88.0,0.013220713008195162,125.0,0.0013907221145927906,92.0,0.0027793790213763714,2.3255813953488373,45.348837209302324,6.976744186046512,1.5135233671342225,14.3881066232543,4.606216320541261e-05,2.0
108.0,120.0,30.0,3.0,86.0,0.020009858068078756,434.3966436011251,88.0,0.017730907071381807,124.0,0.002006103051826358,91.0,0.003683609189465642,2.3255813953488373,44.18604651162791,5.813953488372093,1.1285298596130617,9.97449161440723,4.6061684977003935e-05,3.0
109.0,120.0,30.0,3.0,94.0,0.019986598985269666,434.3966436011251,96.0,0.014939491171389818,130.0,0.0015392799396067858,100.0,0.002747745020315051,2.127659574468085,38.297872340425535,6.382978723404255,1.3378366609664334,12.98438215882636,4.600843937677244e-05,2.0
109.0,120.0,30.0,3.0,94.0,0.019986598985269666,434.3966436011251,96.0,0.01898742513731122,131.0,0.0019977239426225424,100.0,0.0037770739290863276,2.127659574468085,39.361702127659576,6.382978723404255,1.0526229249481027,10.004685111313206,4.60080106649325e-05,3.0
110.0,120.0,30.0,3.0,102.0,0.021011001896113157,434.3966436011251,104.0,0.016511086840182543,137.0,0.0013835688587278128,108.0,0.003139924956485629,1.9607843137254901,34.31372549019608,5.88235294117647,1.272538997552802,15.18609049601818,4.8366403432707174e-05,2.0
110.0,120.0,30.0,3.0,102.0,0.021011001896113157,434.3966436011251,104.0,0.021083678118884563,136.0,0.001969998935237527,108.0,0.004220001865178347,1.9607843137254901,33.33333333333333,5.88235294117647,0.9965529628008165,10.66548896057135,4.836589433793357e-05,3.0
111.0,120.0,30.0,3.0,100.0,0.02067320211790502,434.3966436011251,102.0,0.015747830970212817,135.0,0.0013739168643951416,106.0,0.003056000918149948,2.0,35.0,6.0,1.3127650504382853,15.046909062438992,4.758888679430437e-05,2.0
111.0,120.0,30.0,3.0,100.0,0.02067320211790502,434.3966436011251,101.0,0.020816177828237414,134.0,0.0019579739309847355,105.0,0.004158229101449251,1.0,34.0,5.0,0.993131509948073,10.558466479432504,4.758833157494237e-05,3.0
112.0,120.0,30.0,3.0,102.0,0.01842359104193747,434.3966436011251,104.0,0.016697049839422107,137.0,0.001358439913019538,108.0,0.0032507041469216347,1.9607843137254901,34.31372549019608,5.88235294117647,1.1034039677140426,13.562315760426637,4.241027914642281e-05,2.0
112.0,120.0,30.0,3.0,102.0,0.01842359104193747,434.3966436011251,103.0,0.021203794982284307,136.0,0.001931970939040184,107.0,0.004385920008644462,0.9803921568627451,33.33333333333333,4.901960784313726,0.8688817759901146,9.53616365010668,4.2409839172971685e-05,3.0
113.0,120.0,30.0,3.0,80.0,0.019300549989566207,434.3966436011251,83.0,0.013570694951340556,119.0,0.0014161299914121628,87.0,0.0025469549000263214,3.75,48.75,8.75,1.4222226686820956,13.629080738781422,4.442931900402262e-05,2.0
113.0,120.0,30.0,3.0,80.0,0.019300549989566207,434.3966436011251,84.0,0.01711741415783763,118.0,0.0020073079504072666,87.0,0.0034299029503017664,5.0,47.5,8.75,1.1275388800900734,9.615141506140242,4.4428956266160274e-05,3.0
114.0,120.0,30.0,3.0,90.0,0.02032061410136521,434.3966436011251,92.0,0.014552934095263481,128.0,0.0014386759139597416,96.0,0.002672470873221755,2.2222222222222223,42.22222222222222,6.666666666666667,1.3963242029646052,14.12452513049707,4.6777371908087303e-05,2.0
114.0,120.0,30.0,3.0,90.0,0.02032061410136521,434.3966436011251,91.0,0.01846943120472133,128.0,0.00201668799854815,96.0,0.0036472950596362352,1.1111111111111112,42.22222222222222,6.666666666666667,1.1002295564018594,10.07623098664463,4.677695018371269e-05,3.0
115.0,120.0,30.0,3.0,80.0,0.018750187009572983,434.3966436011251,83.0,0.012936255894601345,119.0,0.0014019091613590717,87.0,0.002578553045168519,3.75,48.75,8.75,1.4494291982425882,13.374751750245883,4.316246206113678e-05,2.0
115.0,120.0,30.0,3.0,80.0,0.018750187009572983,434.3966436011251,84.0,0.0166066971141845,116.0,0.0019608621951192617,87.0,0.003338305978104472,5.0,45.0,8.75,1.12907382368994,9.562215568357457,4.3162097373181754e-05,3.0
116.0,120.0,30.0,3.0,94.0,0.019796213833615184,434.3966436011251,96.0,0.015350988134741783,130.0,0.0013904389925301075,100.0,0.002850351156666875,2.127659574468085,38.297872340425535,6.382978723404255,1.2895726099099205,14.237383977266829,4.5570136368662353e-05,2.0
116.0,120.0,30.0,3.0,94.0,0.019796213833615184,434.3966436011251,96.0,0.020039547933265567,131.0,0.0019137819763273,100.0,0.003864406840875745,2.127659574468085,39.361702127659576,6.382978723404255,0.9878573059401979,10.344027730685234,4.556964454061412e-05,3.0
117.0,120.0,30.0,3.0,90.0,0.021232328144833446,434.3966436011251,92.0,0.014481148915365338,128.0,0.001420200802385807,96.0,0.002773487940430641,2.2222222222222223,42.22222222222222,6.666666666666667,1.4662046684917875,14.950229650036166,4.887611512493032e-05,2.0
117.0,120.0,30.0,3.0,90.0,0.021232328144833446,434.3966436011251,91.0,0.01846393500454724,128.0,0.0020020129159092903,96.0,0.003737524850293994,1.1111111111111112,42.22222222222222,6.666666666666667,1.149935164936641,10.605490092550165,4.887566702101304e-05,3.0
118.0,120.0,30.0,3.0,98.0,0.020502445055171847,434.3966436011251,100.0,0.015024129999801517,133.0,0.0013856301084160805,104.0,0.0029953729826956987,2.0408163265306123,35.714285714285715,6.122448979591836,1.3646344284456209,14.796477740086262,4.719588947104811e-05,2.0
