seed,T,N,K,exact_cost,exact_s,train_s,guided_learned_cost,guided_learned_s,guided_zero_cost,guided_zero_s,guided_price_cost,guided_price_s,gap_learned_pct,gap_zero_pct,gap_price_pct,speedup_learned,speedup_zero,speedup_learned_incl_train,beam
300.0,240.0,40.0,5.0,212.0,1.1581577260512859,5726.4053322409745,219.0,0.04474636004306376,291.0,0.004105489933863282,224.0,0.008737060939893126,3.30188679245283,37.264150943396224,5.660377358490567,25.88272487274224,282.0997602499186,0.00020224706583563302,2.0
300.0,240.0,40.0,5.0,212.0,1.1581577260512859,5726.4053322409745,221.0,0.06685438705608249,290.0,0.005670198937878013,225.0,0.01254317513667047,4.245283018867925,36.79245283018868,6.132075471698113,17.323586036017893,204.25345543250182,0.00020224628502618365,3.0
301.0,240.0,40.0,5.0,196.0,1.2423986261710525,5726.4053322409745,206.0,0.04110158979892731,267.0,0.004217062843963504,210.0,0.007968710968270898,5.1020408163265305,36.224489795918366,7.142857142857142,30.227507798335267,294.6123100701424,0.00021695804553958524,2.0
301.0,240.0,40.0,5.0,196.0,1.2423986261710525,5726.4053322409745,206.0,0.055613124975934625,266.0,0.00577149516902864,210.0,0.011379838921129704,5.1020408163265305,35.714285714285715,7.142857142857142,22.340025429404903,215.26460471423246,0.0002169574957420157,3.0
302.0,240.0,40.0,5.0,196.0,1.313701168866828,5726.4053322409745,206.0,0.041859289864078164,267.0,0.004181378986686468,210.0,0.008324050111696124,5.1020408163265305,36.224489795918366,7.142857142857142,31.383742369556767,314.1789283032366,0.0002294094619102982,2.0
302.0,240.0,40.0,5.0,196.0,1.313701168866828,5726.4053322409745,205.0,0.05664466600865126,266.0,0.005787804955616593,209.0,0.011622274992987514,4.591836734693878,35.714285714285715,6.63265306122449,23.19196601258428,226.9774429063972,0.00022940886958903612,3.0
303.0,240.0,40.0,5.0,212.0,1.0889612101018429,5726.4053322409745,219.0,0.044951617950573564,291.0,0.003767607035115361,224.0,0.008705239044502378,3.30188679245283,37.264150943396224,5.660377358490567,24.225183869893346,289.03258751572525,0.00019016339200067525,2.0
303.0,240.0,40.0,5.0,212.0,1.0889612101018429,5726.4053322409745,221.0,0.07050995994359255,290.0,0.005649985978379846,223.0,0.012052971869707108,4.245283018867925,36.79245283018868,5.188679245283019,15.444076425132051,192.73697567902752,0.0001901625432655821,3.0
304.0,240.0,40.0,5.0,180.0,0.8483147090300918,5726.4053322409745,191.0,0.038293114863336086,255.0,0.004395900061354041,197.0,0.007261333987116814,6.111111111111111,41.66666666666667,9.444444444444445,22.153191560875463,192.97861579882934,0.0001481398865560958,2.0
304.0,240.0,40.0,5.0,180.0,0.8483147090300918,5726.4053322409745,193.0,0.05055228807032108,254.0,0.006151814013719559,196.0,0.010005617048591375,7.222222222222221,41.11111111111111,8.88888888888889,16.780935965747744,137.89667684006866,0.0001481395694188359,3.0
