c_max,c_mean,c_min,c_p10,c_p50,c_p90,c_std,cand_count,cand_d,cand_frac,candidate_d,delta_lb,depth,gcd_remaining,instance_id,is_best,label_rank,lb_child,lb_parent,prefix_len,prefix_total_p,query_id,ratio_d_to_prefix,ratio_d_to_rem_mean,ratio_rem_to_T,rem_count_d1,rem_count_d12,rem_count_d16,rem_count_d2,rem_count_d3,rem_count_d4,rem_count_d6,rem_count_d8,remaining_count,remaining_total_p,unique_d_count,w_argmin,w_gap2,w_mean,w_min,w_min2,w_min_per_unit,w_p10,w_p50,w_p90,w_std,walk_id
1.386434769815267,0.7150660211014904,0.03496754440800559,0.1333820195843727,0.692834774909423,1.2884833078434361,0.44615141934709135,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,19.206990316460207,19.206990316460207,1.0,6.0,1.0,0.16666666666666666,0.3142857142857143,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,35.0,4.0,0.7966101694915254,0.019809374030465676,0.7150660211014905,0.03496754440800487,0.054776918438470545,0.03496754440800487,0.1333820195843714,0.6928347749094232,1.2884833078434368,0.4461514193470914,0.0
1.386434769815267,0.7150660211014904,0.03496754440800559,0.1333820195843727,0.692834774909423,1.2884833078434361,0.44615141934709135,0.0,2.0,0.0,2.0,0.1857493222825859,1.0,1.0,0.0,0.0,1.0,19.392739638742793,19.206990316460207,1.0,6.0,1.0,0.3333333333333333,0.6285714285714286,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,35.0,4.0,0.8103448275862069,0.17210373029521975,1.4305160395968521,0.10802489106711022,0.28012862136232997,0.05401244553355511,0.6104623648676352,1.4107088719375511,2.2296752561374418,0.5920123239766608,0.0
1.386434769815267,0.7150660211014904,0.03496754440800559,0.1333820195843727,0.692834774909423,1.2884833078434361,0.44615141934709135,0.0,3.0,0.0,3.0,0.24168365242206846,1.0,1.0,0.0,0.0,2.0,19.448673968882275,19.206990316460207,1.0,6.0,1.0,0.5,0.942857142857143,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,35.0,4.0,0.8070175438596491,0.12753793824341386,2.1497854692631555,0.5489696124387109,0.6765075506821248,0.18298987081290363,1.1750344735948004,2.145649748854173,2.983294889618135,0.7413623741423256,0.0
1.386434769815267,0.7150660211014904,0.03496754440800559,0.1333820195843727,0.692834774909423,1.2884833078434361,0.44615141934709135,0.0,16.0,0.0,16.0,2.827926974500592,1.0,1.0,0.0,0.0,3.0,22.0349172909608,19.206990316460207,1.0,6.0,1.0,2.6666666666666665,5.0285714285714285,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,35.0,4.0,1.0,0.11506733017785109,12.02505152284218,7.870169829332447,7.985237159510298,0.49188561433327793,9.503274217992708,12.539941962572428,13.602678644118438,1.578585359545711,0.0
1.386434769815267,0.7150660211014904,0.03496754440800559,0.1333820195843727,0.692834774909423,1.2884833078434361,0.44615141934709135,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,19.206990316460207,19.206990316460207,2.0,7.0,2.0,0.14285714285714285,0.29411764705882354,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,34.0,4.0,0.7966101694915254,0.019809374030465676,0.7150660211014905,0.03496754440800487,0.054776918438470545,0.03496754440800487,0.1333820195843714,0.6928347749094232,1.2884833078434368,0.4461514193470914,0.0
1.386434769815267,0.7150660211014904,0.03496754440800559,0.1333820195843727,0.692834774909423,1.2884833078434361,0.44615141934709135,0.0,3.0,0.0,3.0,0.10783381934368563,2.0,1.0,0.0,0.0,1.0,19.314824135803892,19.206990316460207,2.0,7.0,2.0,0.42857142857142855,0.8823529411764706,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,34.0,4.0,0.8070175438596491,0.12753793824341386,2.1497854692631555,0.5489696124387109,0.6765075506821248,0.18298987081290363,1.1750344735948004,2.145649748854173,2.983294889618135,0.7413623741423256,0.0
1.386434769815267,0.7150660211014904,0.03496754440800559,0.1333820195843727,0.692834774909423,1.2884833078434361,0.44615141934709135,0.0,2.0,0.0,2.0,0.10783381934368563,2.0,1.0,0.0,0.0,2.0,19.314824135803892,19.206990316460207,2.0,7.0,2.0,0.2857142857142857,0.5882352941176471,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,34.0,4.0,0.8103448275862069,0.17210373029521975,1.4305160395968521,0.10802489106711022,0.28012862136232997,0.05401244553355511,0.6104623648676352,1.4107088719375511,2.2296752561374418,0.5920123239766608,0.0
1.386434769815267,0.7150660211014904,0.03496754440800559,0.1333820195843727,0.692834774909423,1.2884833078434361,0.44615141934709135,0.0,16.0,0.0,16.0,2.289245455028812,2.0,1.0,0.0,0.0,3.0,21.49623577148902,19.206990316460207,2.0,7.0,2.0,2.2857142857142856,4.705882352941177,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,34.0,4.0,1.0,0.11506733017785109,12.02505152284218,7.870169829332447,7.985237159510298,0.49188561433327793,9.503274217992708,12.539941962572428,13.602678644118438,1.578585359545711,0.0
1.386434769815267,0.7150660211014904,0.03496754440800559,0.1333820195843727,0.692834774909423,1.2884833078434361,0.44615141934709135,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,19.206990316460207,19.206990316460207,3.0,8.0,3.0,0.125,0.27272727272727276,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,33.0,4.0,0.7966101694915254,0.019809374030465676,0.7150660211014905,0.03496754440800487,0.054776918438470545,0.03496754440800487,0.1333820195843714,0.6928347749094232,1.2884833078434368,0.4461514193470914,0.0
1.386434769815267,0.7150660211014904,0.03496754440800559,0.1333820195843727,0.692834774909423,1.2884833078434361,0.44615141934709135,0.0,2.0,0.0,2.0,0.02102229001868139,3.0,1.0,0.0,0.0,1.0,19.228012606478888,19.206990316460207,3.0,8.0,3.0,0.25,0.5454545454545455,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,33.0,4.0,0.8103448275862069,0.17210373029521975,1.4305160395968521,0.10802489106711022,0.28012862136232997,0.05401244553355511,0.6104623648676352,1.4107088719375511,2.2296752561374418,0.5920123239766608,0.0
1.386434769815267,0.7150660211014904,0.03496754440800559,0.1333820195843727,0.692834774909423,1.2884833078434361,0.44615141934709135,0.0,3.0,0.0,3.0,0.10783381934368563,3.0,1.0,0.0,0.0,2.0,19.314824135803892,19.206990316460207,3.0,8.0,3.0,0.375,0.8181818181818182,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,33.0,4.0,0.8070175438596491,0.12753793824341386,2.1497854692631555,0.5489696124387109,0.6765075506821248,0.18298987081290363,1.1750344735948004,2.145649748854173,2.983294889618135,0.7413623741423256,0.0
