instance_id,inst_seed,policy,n_jobs,T,time_limit_s,solve_time_sec,wall_time_sec,timed_out,best_cost,root_lb,gap_to_lb,gap_to_lb_rel,nodes_explored,binpack_attempts,pruned_by_binpack
0,478163327,random,40,200,50.0,0.020621061325073242,0.020624428987503052,False,116.78168086295429,nan,nan,nan,1,1,1
0,478163327,min_w,40,200,50.0,0.01736140251159668,0.017362898972351104,False,116.78168086295429,nan,nan,nan,1,1,1
0,478163327,model(xgb_ranker),40,200,50.0,0.015550851821899414,0.015552354976534843,False,116.78168086295429,nan,nan,nan,1,1,1
10,127978094,random,40,200,50.0,0.015139102935791016,0.015141381998546422,False,154.40000926927797,nan,nan,nan,1,1,1
10,127978094,min_w,40,200,50.0,0.013902664184570312,0.013903872983064502,False,154.40000926927797,nan,nan,nan,1,1,1
10,127978094,model(xgb_ranker),40,200,50.0,0.013569831848144531,0.013570889015682042,False,154.40000926927797,nan,nan,nan,1,1,1
6,440213415,random,40,200,50.0,0.014600753784179688,0.014604676980525255,False,223.47988596831766,nan,nan,nan,1,1,1
6,440213415,min_w,40,200,50.0,0.01255178451538086,0.012553341046441346,False,223.47988596831766,nan,nan,nan,1,1,1
6,440213415,model(xgb_ranker),40,200,50.0,0.012717485427856445,0.012718689977191389,False,223.47988596831766,nan,nan,nan,1,1,1
8,1812140441,random,40,200,50.0,0.02079319953918457,0.020797455043066293,False,-45.10220054714141,nan,nan,nan,1,1,1
8,1812140441,min_w,40,200,50.0,0.016575336456298828,0.016577603993937373,False,-45.10220054714141,nan,nan,nan,1,1,1
8,1812140441,model(xgb_ranker),40,200,50.0,0.015569686889648438,0.015570982999633998,False,-45.10220054714141,nan,nan,nan,1,1,1
3,1051802512,random,40,200,50.0,0.015684843063354492,0.015691950044129044,False,243.62011997796833,nan,nan,nan,1,1,1
3,1051802512,min_w,40,200,50.0,0.01451730728149414,0.014520229015033692,False,243.62011997796833,nan,nan,nan,1,1,1
3,1051802512,model(xgb_ranker),40,200,50.0,0.013973712921142578,0.013975651003420353,False,243.62011997796833,nan,nan,nan,1,1,1
5,599310825,random,40,200,50.0,0.01526188850402832,0.015265514026395977,False,80.46022561187031,nan,nan,nan,1,1,1
5,599310825,min_w,40,200,50.0,0.016113758087158203,0.016115045989863575,False,80.46022561187031,nan,nan,nan,1,1,1
5,599310825,model(xgb_ranker),40,200,50.0,0.01477503776550293,0.014776060997974128,False,80.46022561187031,nan,nan,nan,1,1,1
9,136505587,random,40,200,50.0,0.018119335174560547,0.01812272798269987,False,55.04938090745046,nan,nan,nan,1,1,1
9,136505587,min_w,40,200,50.0,0.015283346176147461,0.015285662026144564,False,55.04938090745046,nan,nan,nan,1,1,1
9,136505587,model(xgb_ranker),40,200,50.0,0.013662576675415039,0.013663766963873059,False,55.04938090745046,nan,nan,nan,1,1,1
13,999270936,random,40,200,50.0,0.013617992401123047,0.013619464007206261,False,181.2600322287823,nan,nan,nan,1,1,1
13,999270936,min_w,40,200,50.0,0.013513326644897461,0.013514601974748075,False,181.2600322287823,nan,nan,nan,1,1,1
13,999270936,model(xgb_ranker),40,200,50.0,0.013553619384765625,0.013554901001043618,False,181.2600322287823,nan,nan,nan,1,1,1
12,939042955,random,40,200,50.0,0.014495134353637695,0.01449649897404015,False,110.12450758871861,nan,nan,nan,1,1,1
12,939042955,min_w,40,200,50.0,0.014420032501220703,0.014421512023545802,False,110.12450758871861,nan,nan,nan,1,1,1
12,939042955,model(xgb_ranker),40,200,50.0,0.014423370361328125,0.01442433602642268,False,110.12450758871861,nan,nan,nan,1,1,1
16,1801823908,random,40,200,50.0,0.012990713119506836,0.01299230201402679,False,279.7061501659765,nan,nan,nan,1,1,1
16,1801823908,min_w,40,200,50.0,0.013000726699829102,0.013001985033042729,False,279.7061501659765,nan,nan,nan,1,1,1
16,1801823908,model(xgb_ranker),40,200,50.0,0.013006925582885742,0.013008604990318418,False,279.7061501659765,nan,nan,nan,1,1,1
19,1194819984,random,40,200,50.0,0.014522790908813477,0.014524730038829148,False,148.90741789863472,nan,nan,nan,1,1,1
19,1194819984,min_w,40,200,50.0,0.014423847198486328,0.01442618400324136,False,148.90741789863472,nan,nan,nan,1,1,1
19,1194819984,model(xgb_ranker),40,200,50.0,0.014493703842163086,0.014494748029392213,False,148.90741789863472,nan,nan,nan,1,1,1
11,402418010,random,40,200,50.0,50.00320625305176,50.003215453994926,True,260.06716421180954,nan,nan,nan,15216,4007,1
11,402418010,min_w,40,200,50.0,50.00065898895264,50.000676585012116,True,262.4391049666944,nan,nan,nan,19438,6350,9
11,402418010,model(xgb_ranker),40,200,50.0,50.05131816864014,50.05132901901379,True,263.15669214260674,nan,nan,nan,1267,491,5
2,1181241943,random,40,200,50.0,50.00314474105835,50.003158809035085,True,166.63454704370525,nan,nan,nan,11976,4283,21
2,1181241943,min_w,40,200,50.0,50.004420042037964,50.00443836103659,True,163.49311100907676,nan,nan,nan,11085,3991,15
2,1181241943,model(xgb_ranker),40,200,50.0,50.07631158828735,50.07632386800833,True,164.4327629788259,nan,nan,nan,632,301,9
1,107420369,random,40,200,50.0,50.00057649612427,50.00059504900128,True,157.6493483442758,nan,nan,nan,16413,4533,3
1,107420369,min_w,40,200,50.0,50.00084662437439,50.00086576998001,True,157.8926333067869,nan,nan,nan,18430,6792,8
1,107420369,model(xgb_ranker),40,200,50.0,50.06786346435547,50.0678796749562,True,158.5221798307193,nan,nan,nan,734,355,1
4,958682846,random,40,200,50.0,50.000505685806274,50.00052061100723,True,377.02988965550117,nan,nan,nan,23892,10532,3
4,958682846,min_w,40,200,50.0,50.014089584350586,50.014098781044595,True,376.9472455002737,nan,nan,nan,20345,7067,8
4,958682846,model(xgb_ranker),40,200,50.0,50.04616403579712,50.04617754596984,True,377.99094331618295,nan,nan,nan,760,331,1
7,373399426,random,40,200,50.0,50.00140166282654,50.00143516098615,True,184.08837402014092,nan,nan,nan,18645,6022,2
7,373399426,min_w,40,200,50.0,50.00366735458374,50.00368283997523,True,185.0693115510776,nan,nan,nan,19852,7782,13
7,373399426,model(xgb_ranker),40,200,50.0,50.03700613975525,50.03702282503946,True,186.16753011818346,nan,nan,nan,924,425,1
15,854001193,random,40,200,50.0,50.00326895713806,50.003284686012194,True,132.49560290141818,nan,nan,nan,14213,6223,11
15,854001193,min_w,40,200,50.0,50.013333320617676,50.01335142401513,True,133.70385109019378,nan,nan,nan,13382,4737,7
15,854001193,model(xgb_ranker),40,200,50.0,50.00544309616089,50.005455304984935,True,134.15854339660382,nan,nan,nan,669,283,4
14,113971123,random,40,200,50.0,50.00078511238098,50.000800466979854,True,162.94440114767687,nan,nan,nan,8306,1585,2
14,113971123,min_w,40,200,50.0,50.02415895462036,50.02417455299292,True,162.95569163832775,nan,nan,nan,12436,5254,8
14,113971123,model(xgb_ranker),40,200,50.0,50.0110502243042,50.011061223980505,True,162.97983585818324,nan,nan,nan,595,281,2
18,1929338154,random,40,200,50.0,50.000380754470825,50.00039026996819,True,182.98381517450972,nan,nan,nan,19264,8314,6
18,1929338154,min_w,40,200,50.0,50.000327825546265,50.000339174992405,True,178.33522005327828,nan,nan,nan,17598,6274,12
18,1929338154,model(xgb_ranker),40,200,50.0,50.00121188163757,50.00121709500672,True,180.08292221800977,nan,nan,nan,702,323,6
17,946785248,random,40,200,50.0,50.001482009887695,50.00151609501336,True,180.07082832117908,nan,nan,nan,18360,8279,5
17,946785248,min_w,40,200,50.0,50.00071859359741,50.00072900403757,True,179.48008179134132,nan,nan,nan,16872,6452,6
17,946785248,model(xgb_ranker),40,200,50.0,50.00487279891968,50.00488047499675,True,180.43839684869965,nan,nan,nan,874,388,2
