seed,T,D,N,K,exact_cost,exact_s,train_s,guided_learned_cost,guided_learned_s,guided_zero_cost,guided_zero_s,guided_price_cost,guided_price_s,gap_learned_pct,gap_zero_pct,gap_price_pct,speedup_learned,speedup_zero,speedup_learned_incl_train,beam
300.0,40.0,2.0,28.0,2.0,162.0,0.00511000188998878,254.15673044905998,162.0,0.0056062431540340185,177.0,0.0005521629936993122,167.0,0.0012062930036336184,0.0,9.25925925925926,3.0864197530864197,0.9114841703417441,9.254517141312625,2.0105267981451162e-05,2.0
300.0,40.0,2.0,28.0,2.0,162.0,0.00511000188998878,254.15673044905998,162.0,0.010387497954070568,165.0,0.0014334991574287415,165.0,0.0018834120128303766,0.0,1.8518518518518516,1.8518518518518516,0.49193770363019074,3.5647051925405795,2.0104889771988746e-05,5.0
301.0,40.0,2.0,25.0,3.0,162.0,0.008431392023339868,254.15673044905998,162.0,0.006566070020198822,178.0,0.0005513089708983898,167.0,0.001061153132468462,0.0,9.876543209876543,3.0864197530864197,1.2840850002212683,15.293406181293273,3.317312979022885e-05,2.0
301.0,40.0,2.0,25.0,3.0,162.0,0.008431392023339868,254.15673044905998,162.0,0.010927241994068027,167.0,0.0008744518272578716,166.0,0.001549488864839077,0.0,3.0864197530864197,2.4691358024691357,0.7715937862378212,9.641917096541775,3.317256058435411e-05,5.0
302.0,80.0,4.0,51.0,4.0,324.0,0.019601071951910853,254.15673044905998,324.0,0.013200431829318404,357.0,0.0008544318843632936,333.0,0.0021062339656054974,0.0,10.185185185185185,2.7777777777777777,1.4848811164174576,22.940473442791987,7.711798120249099e-05,2.0
302.0,80.0,4.0,51.0,4.0,324.0,0.019601071951910853,254.15673044905998,324.0,0.03162758401595056,349.0,0.0018557908479124308,333.0,0.004526692908257246,0.0,7.716049382716049,2.7777777777777777,0.6197461033389574,10.56211262921142,7.711239060508149e-05,5.0
303.0,60.0,3.0,26.0,6.0,243.0,0.025572940008714795,254.15673044905998,243.0,0.015700486954301596,259.0,0.0009068630170077085,249.0,0.0025183449033647776,0.0,6.584362139917696,2.4691358024691357,1.628799162927132,28.199341608499424,0.00010061256413427687,2.0
303.0,60.0,3.0,26.0,6.0,243.0,0.025572940008714795,254.15673044905998,243.0,0.037550299894064665,259.0,0.0019432140979915857,249.0,0.005258252844214439,0.0,6.584362139917696,2.4691358024691357,0.6810315784656874,13.160124782516645,0.0001006039157661891,5.0
304.0,80.0,4.0,43.0,5.0,324.0,0.03247972088865936,254.15673044905998,324.0,0.01426075492054224,357.0,0.0009951649699360132,333.0,0.002763264114037156,0.0,10.185185185185185,2.7777777777777777,2.27755971332718,32.637524299863294,0.00012778689155204702,2.0
304.0,80.0,4.0,43.0,5.0,324.0,0.03247972088865936,254.15673044905998,324.0,0.03182143298909068,349.0,0.0021460161078721285,333.0,0.005579567980021238,0.0,7.716049382716049,2.7777777777777777,1.0206869344882852,15.134891471464519,0.00012777806336349443,5.0
305.0,40.0,2.0,29.0,3.0,162.0,0.003689893987029791,254.15673044905998,162.0,0.004780011018738151,178.0,0.00036518415436148643,167.0,0.0006743809208273888,0.0,9.876543209876543,3.0864197530864197,0.7719425692880235,10.10420069699207,1.4517910207373294e-05,2.0
305.0,40.0,2.0,29.0,3.0,162.0,0.003689893987029791,254.15673044905998,162.0,0.0071594861801713705,167.0,0.0009038310963660479,166.0,0.0012923551257699728,0.0,3.0864197530864197,2.4691358024691357,0.5153853075726544,4.082503912363067,1.4517774291107835e-05,5.0
306.0,80.0,4.0,22.0,7.0,324.0,0.03677437291480601,254.15673044905998,324.0,0.02452767896465957,357.0,0.0014720519538968801,333.0,0.004052022006362677,0.0,10.185185185185185,2.7777777777777777,1.4993009720892037,24.981708571803654,0.00014467775156059575,2.0
